epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.159,2.39513,4.48753,4.4547,2.35768,0.34637,0.15067,0.11364,0.06848,0.33213,0.13783,0.10248,0.05704,2.56524,3.99426,3.4403,2.55949,0.00331903,0.00331903,0.00331903
2,492.726,2.31503,4.03511,3.38347,2.22212,0.48038,0.14237,0.12442,0.07248,0.43837,0.13154,0.11002,0.06492,2.49602,3.98147,3.19277,2.47339,0.00660845,0.00660845,0.00660845
3,733.282,2.33439,4.12972,3.45454,2.28075,0.43493,0.06406,0.03592,0.01722,0.47237,0.0526,0.03079,0.01284,2.70669,4.57594,4.21473,2.79205,0.00985388,0.00985388,0.00985388
