epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.524,0.95957,2.3185,2.3491,1.29353,0.82525,0.6984,0.79818,0.6828,0.81138,0.6922,0.77645,0.62227,0.58027,1.68859,0.8603,0.98847,0.00332803,0.00332803,0.00332803
2,658.686,0.90159,2.15365,1.37663,1.22427,0.82953,0.71893,0.80859,0.67253,0.81347,0.70511,0.78391,0.61156,0.66064,1.80758,0.80735,1.029,0.00662839,0.00662839,0.00662839
3,904.605,1.00658,2.37437,1.43135,1.28751,0.76516,0.67171,0.74543,0.59491,0.74971,0.65855,0.71711,0.53558,0.77583,2.23573,1.15889,1.09492,0.00989575,0.00989575,0.00989575
4,1158.58,1.08993,2.56907,1.49887,1.34812,0.77889,0.68014,0.75635,0.59937,0.7847,0.66444,0.7379,0.55341,0.80709,2.11867,1.07922,1.13681,0.0098515,0.0098515,0.0098515
5,1458.52,1.05729,2.48444,1.38896,1.32126,0.83826,0.71779,0.80901,0.65203,0.82579,0.70697,0.78332,0.5966,0.75001,1.94694,0.82775,1.07685,0.009802,0.009802,0.009802
6,1714.83,1.01783,2.39363,1.29776,1.29361,0.8435,0.76283,0.83059,0.68001,0.83556,0.755,0.81282,0.6279,0.70498,1.88442,0.74031,1.04079,0.0097525,0.0097525,0.0097525
7,1935.53,0.98357,2.3055,1.22132,1.27294,0.87463,0.76977,0.84853,0.70243,0.8687,0.76458,0.82994,0.65469,0.6806,1.82149,0.72112,1.02638,0.009703,0.009703,0.009703
8,2135.9,0.96466,2.24544,1.1673,1.25699,0.8808,0.74983,0.8454,0.69927,0.87728,0.73766,0.82051,0.64292,0.68798,1.83746,0.7343,1.03963,0.0096535,0.0096535,0.0096535
9,2419.3,0.93865,2.17621,1.12272,1.23823,0.90291,0.81041,0.87684,0.73993,0.9034,0.79878,0.86053,0.69074,0.62668,1.68457,0.60239,1.00259,0.009604,0.009604,0.009604
10,2643.44,0.9177,2.13239,1.07087,1.22948,0.90598,0.82101,0.8923,0.74943,0.89901,0.81009,0.87574,0.70523,0.62403,1.74644,0.54222,0.98933,0.0095545,0.0095545,0.0095545
