epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,2842.9,0.90066,2.08982,1.04839,1.21393,0.89233,0.82933,0.89163,0.75471,0.88651,0.82316,0.87177,0.69548,0.60969,1.68835,0.57002,0.98661,0.009505,0.009505,0.009505
12,3070.93,0.89872,2.06262,1.04095,1.21217,0.89241,0.84221,0.89286,0.7602,0.88349,0.83538,0.87679,0.71238,0.6054,1.64613,0.56124,0.97245,0.0094555,0.0094555,0.0094555
13,3204.61,0.87687,2.01618,0.98904,1.19679,0.90284,0.85538,0.90451,0.77226,0.89914,0.84722,0.88973,0.72529,0.59008,1.57832,0.49334,0.96374,0.009406,0.009406,0.009406
14,3337.77,0.86773,1.99355,0.97221,1.19492,0.89513,0.82718,0.89454,0.76629,0.89361,0.81837,0.87829,0.72126,0.58288,1.56321,0.55413,0.96242,0.0093565,0.0093565,0.0093565
15,3471.53,0.85725,1.95507,0.95055,1.18454,0.91473,0.84304,0.90514,0.77882,0.91292,0.84055,0.89527,0.73325,0.57426,1.48503,0.47054,0.9576,0.009307,0.009307,0.009307
16,3606.18,0.84709,1.92825,0.934,1.18274,0.907,0.86681,0.91226,0.7854,0.91897,0.84603,0.90097,0.74484,0.56168,1.44959,0.45938,0.94908,0.0092575,0.0092575,0.0092575
17,3739.47,0.84035,1.90894,0.91324,1.17273,0.9199,0.83772,0.90958,0.78785,0.92077,0.82982,0.89616,0.743,0.56734,1.55797,0.47305,0.95361,0.009208,0.009208,0.009208
18,3875.17,0.82592,1.88075,0.89708,1.16159,0.91833,0.85088,0.9132,0.78882,0.91572,0.84674,0.90299,0.7408,0.56308,1.50421,0.45869,0.94937,0.0091585,0.0091585,0.0091585
19,4007.81,0.82498,1.86993,0.88193,1.16334,0.92715,0.86736,0.91525,0.79291,0.92223,0.86488,0.90671,0.74713,0.54163,1.51289,0.43484,0.93152,0.009109,0.009109,0.009109
20,4143.2,0.82232,1.83741,0.88077,1.16262,0.92898,0.86837,0.91883,0.79941,0.92475,0.86196,0.90679,0.75424,0.53701,1.41078,0.43089,0.92906,0.0090595,0.0090595,0.0090595
21,4278.88,0.81103,1.83767,0.86346,1.15292,0.91304,0.86432,0.91683,0.79847,0.91298,0.86022,0.90451,0.75553,0.53604,1.42675,0.4455,0.93115,0.00901,0.00901,0.00901
22,4412.18,0.80249,1.81244,0.84657,1.15059,0.93213,0.86093,0.91945,0.81147,0.92838,0.85641,0.90993,0.76295,0.523,1.44354,0.41379,0.92065,0.0089605,0.0089605,0.0089605
23,4547.98,0.80051,1.80209,0.84114,1.14349,0.93027,0.86918,0.92127,0.80962,0.92509,0.86227,0.90843,0.76781,0.52167,1.43197,0.41939,0.92459,0.008911,0.008911,0.008911
24,4738.75,0.7913,1.78519,0.82522,1.14243,0.93874,0.87229,0.92584,0.81072,0.93189,0.86364,0.90983,0.76365,0.51721,1.42618,0.41055,0.91811,0.0088615,0.0088615,0.0088615
25,5019.09,0.78767,1.7515,0.81589,1.13959,0.93771,0.87584,0.92695,0.82154,0.93535,0.87356,0.91885,0.77535,0.50082,1.31534,0.3967,0.91327,0.008812,0.008812,0.008812
26,5326.1,0.78086,1.73759,0.80615,1.13361,0.93013,0.88545,0.93007,0.82106,0.92484,0.87708,0.91804,0.77538,0.50286,1.34824,0.3804,0.91392,0.0087625,0.0087625,0.0087625
27,5634.59,0.78078,1.7606,0.80693,1.13562,0.92959,0.88876,0.93098,0.82222,0.93827,0.87097,0.9181,0.77451,0.50338,1.33839,0.37702,0.91471,0.008713,0.008713,0.008713
28,5981.62,0.76687,1.74666,0.78814,1.12713,0.94763,0.88498,0.9325,0.82892,0.94021,0.88295,0.92189,0.78385,0.49566,1.33103,0.37445,0.9101,0.0086635,0.0086635,0.0086635
29,6471.08,0.77088,1.71867,0.783,1.12734,0.94161,0.88276,0.93031,0.82702,0.93752,0.88056,0.91995,0.78076,0.48959,1.31137,0.37097,0.90576,0.008614,0.008614,0.008614
30,6695.88,0.76824,1.72358,0.78285,1.12625,0.95252,0.87565,0.93258,0.82812,0.94466,0.87455,0.92026,0.78002,0.49772,1.27955,0.37815,0.90895,0.0085645,0.0085645,0.0085645
31,7043.7,0.76351,1.6917,0.76808,1.12116,0.95035,0.88844,0.93415,0.82616,0.9457,0.88597,0.92382,0.77911,0.49623,1.30084,0.35801,0.91002,0.008515,0.008515,0.008515
32,7316.61,0.75895,1.69045,0.76662,1.12227,0.93767,0.8946,0.93841,0.83369,0.93629,0.8854,0.92653,0.78936,0.48511,1.31534,0.35765,0.90066,0.0084655,0.0084655,0.0084655
33,7619.84,0.75899,1.67946,0.75548,1.11845,0.94422,0.89607,0.93525,0.83404,0.94216,0.89216,0.92711,0.79,0.48841,1.29992,0.35434,0.90296,0.008416,0.008416,0.008416
34,8245.72,0.7531,1.65943,0.74873,1.11456,0.93901,0.89324,0.93537,0.83667,0.93432,0.88848,0.92426,0.79129,0.48058,1.34961,0.3587,0.90145,0.0083665,0.0083665,0.0083665
35,8671.39,0.74758,1.65232,0.75093,1.11504,0.94029,0.89207,0.93603,0.83588,0.92576,0.89831,0.92614,0.79343,0.48341,1.3322,0.35831,0.90117,0.008317,0.008317,0.008317
36,9073.41,0.74389,1.64706,0.74232,1.11063,0.94359,0.892,0.93911,0.84127,0.93691,0.89534,0.93082,0.79405,0.47194,1.25816,0.3503,0.89213,0.0082675,0.0082675,0.0082675
37,9383.51,0.74502,1.67408,0.73682,1.10937,0.94078,0.89881,0.93674,0.83838,0.93712,0.89884,0.92869,0.79414,0.47143,1.29122,0.3483,0.89383,0.008218,0.008218,0.008218
38,9677.75,0.74028,1.64369,0.72995,1.1046,0.93811,0.90152,0.93728,0.83974,0.93617,0.89947,0.92831,0.79489,0.47032,1.28572,0.34517,0.8946,0.0081685,0.0081685,0.0081685
39,9967.59,0.74061,1.61545,0.72652,1.10589,0.94591,0.89624,0.93986,0.8444,0.94578,0.89527,0.93246,0.79849,0.47228,1.27758,0.3309,0.897,0.008119,0.008119,0.008119
40,10253.9,0.73581,1.61525,0.72144,1.10289,0.93897,0.90423,0.93846,0.84245,0.93606,0.90322,0.9293,0.79918,0.46823,1.33184,0.33523,0.89485,0.0080695,0.0080695,0.0080695
41,10541.4,0.72617,1.58654,0.71301,1.09741,0.93998,0.89937,0.93883,0.84299,0.93972,0.89733,0.93051,0.8011,0.46425,1.25648,0.33653,0.89332,0.00802,0.00802,0.00802
42,10834.3,0.73238,1.61256,0.7205,1.10257,0.94727,0.8992,0.94051,0.84632,0.94684,0.89967,0.93405,0.80487,0.46594,1.21389,0.32405,0.89439,0.0079705,0.0079705,0.0079705
43,11269.3,0.73152,1.62002,0.71165,1.09911,0.94686,0.90066,0.94155,0.8469,0.95004,0.90122,0.93514,0.80563,0.46346,1.23933,0.32281,0.89045,0.007921,0.007921,0.007921
44,11655.2,0.72621,1.60177,0.70939,1.0963,0.94916,0.89931,0.94233,0.85015,0.95013,0.89957,0.93345,0.8067,0.45575,1.22863,0.31595,0.88332,0.0078715,0.0078715,0.0078715
45,12346.7,0.72841,1.58261,0.70692,1.09585,0.95645,0.89655,0.94296,0.85172,0.95402,0.89893,0.93366,0.80723,0.45574,1.24402,0.31642,0.88351,0.007822,0.007822,0.007822
46,12979.6,0.72418,1.56307,0.69697,1.09517,0.94199,0.90997,0.94103,0.84886,0.94143,0.90935,0.93193,0.80666,0.45778,1.2719,0.32043,0.88789,0.0077725,0.0077725,0.0077725
47,13456.7,0.72024,1.57963,0.69732,1.09346,0.95004,0.90238,0.94277,0.84968,0.95092,0.90177,0.93556,0.80931,0.45555,1.24995,0.31536,0.88523,0.007723,0.007723,0.007723
48,13861.5,0.72288,1.57929,0.69869,1.09335,0.94111,0.91101,0.94525,0.85393,0.93774,0.9156,0.9371,0.81004,0.45292,1.22597,0.3149,0.88355,0.0076735,0.0076735,0.0076735
49,14257.7,0.71875,1.57394,0.68216,1.09207,0.95431,0.90177,0.94386,0.85507,0.95361,0.89774,0.93614,0.81058,0.44713,1.22868,0.30764,0.88445,0.007624,0.007624,0.007624
50,14612.8,0.7167,1.56298,0.68807,1.09285,0.94809,0.91311,0.94536,0.85611,0.94727,0.91195,0.93697,0.81211,0.44522,1.18251,0.30178,0.88112,0.0075745,0.0075745,0.0075745
51,14857.4,0.70779,1.55474,0.67733,1.08392,0.94095,0.91852,0.945,0.85523,0.94292,0.9186,0.93828,0.81256,0.44754,1.12198,0.309,0.88268,0.007525,0.007525,0.007525
52,15119.9,0.70906,1.535,0.67688,1.08297,0.95407,0.90621,0.94472,0.8579,0.95287,0.90361,0.935,0.81469,0.44185,1.14866,0.30687,0.87655,0.0074755,0.0074755,0.0074755
53,15383.9,0.71162,1.54093,0.67903,1.08506,0.95673,0.90363,0.94655,0.85859,0.94773,0.91297,0.93882,0.81597,0.43937,1.14915,0.29471,0.87571,0.007426,0.007426,0.007426
54,15601.1,0.70549,1.52641,0.671,1.08177,0.95833,0.90877,0.94886,0.8594,0.95958,0.91004,0.94128,0.81782,0.43596,1.11691,0.29177,0.87559,0.0073765,0.0073765,0.0073765
55,15833.3,0.70503,1.5247,0.6663,1.08066,0.955,0.90784,0.94759,0.85915,0.95221,0.91252,0.94198,0.81425,0.43983,1.15366,0.29568,0.87465,0.007327,0.007327,0.007327
56,16057.9,0.6987,1.52741,0.66188,1.07508,0.94933,0.91318,0.94805,0.86022,0.94943,0.9106,0.9395,0.81594,0.43742,1.13872,0.2943,0.87306,0.0072775,0.0072775,0.0072775
57,16318.6,0.70322,1.53594,0.66362,1.07973,0.95509,0.91508,0.94854,0.86389,0.95334,0.91548,0.94041,0.81838,0.43223,1.15917,0.28856,0.86923,0.007228,0.007228,0.007228
58,16618,0.69506,1.49924,0.64928,1.07648,0.95754,0.91446,0.94867,0.86493,0.9551,0.91219,0.94002,0.82145,0.42959,1.14619,0.28898,0.87027,0.0071785,0.0071785,0.0071785
59,16868,0.69844,1.51153,0.65634,1.07883,0.95861,0.9097,0.94975,0.86694,0.9544,0.91263,0.94014,0.82172,0.42725,1.1494,0.28824,0.86854,0.007129,0.007129,0.007129
60,17139.5,0.69541,1.51396,0.65217,1.07657,0.95539,0.91043,0.94969,0.86454,0.95348,0.91459,0.94116,0.81771,0.42892,1.15145,0.29042,0.87323,0.0070795,0.0070795,0.0070795
61,17440.3,0.69696,1.50776,0.65101,1.07799,0.95197,0.91266,0.95199,0.86705,0.94986,0.91149,0.93986,0.82117,0.43018,1.16067,0.28904,0.87178,0.00703,0.00703,0.00703
62,17752.3,0.69808,1.52947,0.65786,1.07931,0.96242,0.90997,0.95307,0.86896,0.96182,0.90747,0.94107,0.82299,0.42693,1.14898,0.28849,0.86939,0.0069805,0.0069805,0.0069805
63,18075.5,0.68546,1.487,0.63773,1.07137,0.95431,0.91791,0.95146,0.86942,0.95614,0.91554,0.94086,0.82367,0.42761,1.19833,0.28695,0.86979,0.006931,0.006931,0.006931
64,18255.6,0.69169,1.49275,0.64579,1.0733,0.95618,0.91574,0.95262,0.86839,0.95591,0.91377,0.94188,0.82497,0.42621,1.18179,0.2849,0.86861,0.0068815,0.0068815,0.0068815
65,18615.9,0.6909,1.49778,0.64376,1.07524,0.94601,0.92442,0.95295,0.86834,0.94258,0.92476,0.94151,0.82538,0.42777,1.169,0.2841,0.87027,0.006832,0.006832,0.006832
66,18914.4,0.68244,1.47314,0.63186,1.06946,0.95379,0.92408,0.95143,0.86874,0.95174,0.92219,0.942,0.82417,0.42472,1.14971,0.28194,0.87064,0.0067825,0.0067825,0.0067825
67,19335.4,0.68049,1.47065,0.63439,1.06783,0.94986,0.92348,0.95245,0.87041,0.94662,0.92275,0.94208,0.82343,0.42423,1.15304,0.28136,0.86812,0.006733,0.006733,0.006733
68,19814.8,0.68579,1.46752,0.6313,1.06736,0.95126,0.92654,0.95421,0.87118,0.95024,0.92467,0.94396,0.82656,0.4211,1.13009,0.27743,0.86657,0.0066835,0.0066835,0.0066835
69,20023.3,0.68329,1.46893,0.62854,1.06781,0.95818,0.92147,0.95308,0.87244,0.95623,0.92153,0.94334,0.82922,0.42018,1.13902,0.27797,0.86699,0.006634,0.006634,0.006634
70,20260.7,0.67696,1.45527,0.62628,1.0669,0.95156,0.92754,0.95326,0.8731,0.94998,0.9257,0.94334,0.82993,0.42024,1.16481,0.27547,0.86654,0.0065845,0.0065845,0.0065845
71,20571.3,0.68438,1.46932,0.63256,1.06828,0.95312,0.9204,0.95164,0.87305,0.95484,0.91787,0.94154,0.82834,0.41857,1.14504,0.27536,0.86478,0.006535,0.006535,0.006535
72,20799.4,0.67632,1.45365,0.61539,1.06469,0.95272,0.92226,0.953,0.87389,0.9546,0.91813,0.94323,0.82989,0.41857,1.14381,0.2749,0.86478,0.0064855,0.0064855,0.0064855
73,21146.4,0.67479,1.4495,0.61647,1.06441,0.95041,0.92774,0.95282,0.87328,0.95031,0.92322,0.94332,0.83128,0.41854,1.12174,0.275,0.86476,0.006436,0.006436,0.006436
74,21501.1,0.6759,1.45717,0.62214,1.06642,0.96383,0.91651,0.95296,0.87364,0.9512,0.93033,0.94454,0.83135,0.4176,1.14551,0.27281,0.86474,0.0063865,0.0063865,0.0063865
75,21880.7,0.66791,1.42081,0.61062,1.06099,0.95553,0.92275,0.95252,0.874,0.95606,0.92561,0.94473,0.83073,0.41733,1.16585,0.27475,0.86552,0.006337,0.006337,0.006337
76,22213.4,0.6671,1.44122,0.61284,1.05864,0.96236,0.91296,0.95243,0.87363,0.94871,0.92306,0.94429,0.83078,0.41783,1.16976,0.27378,0.86597,0.0062875,0.0062875,0.0062875
77,22545.1,0.67261,1.44645,0.61094,1.06082,0.95087,0.92272,0.95296,0.87575,0.9501,0.92248,0.94471,0.83179,0.41522,1.188,0.27028,0.86461,0.006238,0.006238,0.006238
78,22917.1,0.66545,1.42864,0.60156,1.05774,0.94888,0.92572,0.95236,0.87544,0.94796,0.9256,0.94509,0.83058,0.41431,1.18702,0.27064,0.86377,0.0061885,0.0061885,0.0061885
79,23209.5,0.66949,1.43306,0.61557,1.06283,0.9519,0.92632,0.95296,0.87504,0.95339,0.92448,0.94524,0.83071,0.41204,1.18592,0.27034,0.86229,0.006139,0.006139,0.006139
80,23513,0.66229,1.43268,0.59956,1.05619,0.95301,0.9257,0.95324,0.87712,0.95457,0.92209,0.94623,0.83316,0.41089,1.17184,0.26704,0.86183,0.0060895,0.0060895,0.0060895
81,23896.5,0.66889,1.43271,0.60579,1.05817,0.95536,0.92371,0.95353,0.8771,0.95542,0.92101,0.94556,0.83315,0.41017,1.16899,0.2645,0.86155,0.00604,0.00604,0.00604
82,24217.4,0.66287,1.40707,0.59897,1.05561,0.95856,0.92288,0.95339,0.87707,0.95644,0.92443,0.94558,0.83279,0.40863,1.17395,0.26236,0.86137,0.0059905,0.0059905,0.0059905
83,24495.4,0.65444,1.39806,0.5911,1.04796,0.95675,0.92491,0.95333,0.87711,0.95729,0.92466,0.94614,0.8334,0.40862,1.16291,0.26301,0.86098,0.005941,0.005941,0.005941
84,24770.3,0.66026,1.40053,0.59538,1.05169,0.95825,0.92298,0.95402,0.87817,0.95696,0.92254,0.94536,0.83278,0.40841,1.15045,0.26287,0.86088,0.0058915,0.0058915,0.0058915
85,25124.7,0.65996,1.42456,0.59099,1.05141,0.95855,0.92152,0.95355,0.87719,0.9515,0.92642,0.94503,0.83368,0.40854,1.14295,0.26237,0.8601,0.005842,0.005842,0.005842
86,25457.5,0.65167,1.37874,0.58778,1.04893,0.9572,0.92307,0.95266,0.87747,0.95225,0.92504,0.945,0.83304,0.40812,1.1379,0.26236,0.86002,0.0057925,0.0057925,0.0057925
87,25818.8,0.65894,1.38263,0.59274,1.05171,0.95666,0.92298,0.95266,0.87736,0.95255,0.92753,0.94542,0.83435,0.40916,1.13615,0.26345,0.86002,0.005743,0.005743,0.005743
88,26109.3,0.65724,1.40732,0.5886,1.05168,0.96278,0.92062,0.95221,0.87657,0.95169,0.92795,0.9449,0.83445,0.40956,1.12906,0.26367,0.85995,0.0056935,0.0056935,0.0056935
89,26535.7,0.65802,1.39697,0.59227,1.05129,0.96209,0.92318,0.95261,0.87709,0.95561,0.92612,0.94519,0.83533,0.4094,1.12816,0.26387,0.85975,0.005644,0.005644,0.005644
90,26953.3,0.65069,1.37668,0.58048,1.04703,0.96401,0.92374,0.95232,0.87675,0.95533,0.92523,0.9449,0.83625,0.40951,1.12793,0.26338,0.86059,0.0055945,0.0055945,0.0055945
91,27277.5,0.65297,1.39601,0.58589,1.05038,0.96415,0.92532,0.95287,0.877,0.95676,0.92581,0.94593,0.83632,0.40797,1.13701,0.26358,0.85988,0.005545,0.005545,0.005545
92,27630.8,0.65301,1.38001,0.57784,1.04667,0.96482,0.92591,0.95299,0.87757,0.959,0.92594,0.94597,0.83634,0.40773,1.1376,0.26317,0.85986,0.0054955,0.0054955,0.0054955
93,27959.2,0.64692,1.35716,0.57763,1.0442,0.96522,0.92651,0.95291,0.87828,0.96009,0.92553,0.94635,0.83681,0.40661,1.13622,0.26257,0.85919,0.005446,0.005446,0.005446
94,28269,0.65226,1.37743,0.57504,1.04574,0.96497,0.92559,0.95303,0.87865,0.95604,0.92694,0.94607,0.83704,0.40536,1.13891,0.26192,0.85829,0.0053965,0.0053965,0.0053965
95,28623.8,0.64416,1.35109,0.56889,1.04379,0.96537,0.92717,0.95312,0.87864,0.95789,0.92955,0.94722,0.83709,0.40463,1.14964,0.26182,0.85756,0.005347,0.005347,0.005347
96,28904.7,0.64507,1.3547,0.57381,1.0409,0.96441,0.92666,0.95292,0.87846,0.957,0.92747,0.94632,0.83688,0.40371,1.14541,0.26093,0.85714,0.0052975,0.0052975,0.0052975
97,29190.1,0.63884,1.34812,0.56689,1.04471,0.96136,0.92774,0.95287,0.87878,0.96054,0.92497,0.94654,0.83768,0.40333,1.14758,0.2608,0.85716,0.005248,0.005248,0.005248
98,29465.2,0.64559,1.35569,0.56931,1.04702,0.96165,0.92899,0.95321,0.87937,0.95994,0.92712,0.94657,0.83743,0.40274,1.14102,0.25979,0.85668,0.0051985,0.0051985,0.0051985
99,29740.7,0.6418,1.33928,0.56636,1.04213,0.9619,0.92795,0.95327,0.87977,0.95934,0.92654,0.94603,0.83729,0.40199,1.14294,0.25963,0.85615,0.005149,0.005149,0.005149
100,30049.2,0.6416,1.33971,0.56363,1.04424,0.9619,0.92919,0.95354,0.87968,0.96113,0.92878,0.94706,0.83706,0.40197,1.13903,0.25914,0.85597,0.0050995,0.0050995,0.0050995
101,30278.6,0.6489,1.37534,0.57365,1.04476,0.96137,0.92929,0.9536,0.87989,0.95742,0.92836,0.94631,0.83664,0.40168,1.14154,0.25909,0.85585,0.00505,0.00505,0.00505
102,30487.5,0.63354,1.34266,0.55836,1.03416,0.96147,0.93004,0.95366,0.87985,0.95769,0.9287,0.94631,0.8366,0.40088,1.14045,0.25875,0.85525,0.0050005,0.0050005,0.0050005
103,30749.1,0.64202,1.3488,0.56206,1.03878,0.96013,0.9303,0.95319,0.88019,0.95759,0.92812,0.94589,0.8368,0.40032,1.13853,0.25893,0.85498,0.004951,0.004951,0.004951
104,31086,0.63156,1.32697,0.5567,1.03895,0.96143,0.92805,0.95311,0.88023,0.95963,0.92487,0.94542,0.83687,0.40002,1.13539,0.25885,0.85488,0.0049015,0.0049015,0.0049015
105,31344.7,0.64002,1.33984,0.56039,1.03978,0.96056,0.92614,0.95319,0.88052,0.95953,0.92519,0.94682,0.8372,0.39948,1.13606,0.25873,0.85467,0.004852,0.004852,0.004852
106,31660.6,0.63554,1.3433,0.55719,1.03653,0.96089,0.92655,0.95329,0.88059,0.96035,0.92608,0.94733,0.83799,0.39937,1.12994,0.25872,0.85466,0.0048025,0.0048025,0.0048025
107,31938.5,0.62708,1.31675,0.55014,1.03463,0.96138,0.92682,0.95297,0.88088,0.96054,0.92768,0.94683,0.83851,0.39917,1.12748,0.25897,0.85454,0.004753,0.004753,0.004753
108,32263.7,0.63498,1.33204,0.55094,1.03497,0.96178,0.92609,0.95288,0.88127,0.96001,0.92812,0.94688,0.8383,0.39883,1.12393,0.2588,0.8545,0.0047035,0.0047035,0.0047035
109,32464.3,0.63377,1.33169,0.55347,1.03362,0.96274,0.92659,0.95292,0.88098,0.96125,0.92812,0.94749,0.8382,0.39854,1.1235,0.25851,0.85438,0.004654,0.004654,0.004654
110,32763.9,0.62507,1.30126,0.54865,1.03239,0.96312,0.92578,0.95288,0.88054,0.96034,0.92698,0.9459,0.83807,0.39814,1.1239,0.2577,0.85437,0.0046045,0.0046045,0.0046045
111,32996.6,0.62815,1.3204,0.54832,1.03501,0.96339,0.92585,0.95316,0.88089,0.96009,0.92721,0.946,0.83866,0.39795,1.1276,0.25778,0.85449,0.004555,0.004555,0.004555
112,33216,0.63002,1.31933,0.54993,1.03599,0.96377,0.92423,0.95338,0.8809,0.95909,0.92782,0.946,0.83863,0.39767,1.12707,0.25732,0.85437,0.0045055,0.0045055,0.0045055
113,33417.5,0.62806,1.3207,0.54105,1.03601,0.96431,0.92355,0.95335,0.8812,0.95923,0.92621,0.9453,0.83858,0.39756,1.1251,0.25662,0.85422,0.004456,0.004456,0.004456
114,33776.1,0.61917,1.29762,0.5399,1.03158,0.96369,0.92412,0.95321,0.88117,0.95923,0.92714,0.94531,0.8388,0.39752,1.12383,0.25599,0.85435,0.0044065,0.0044065,0.0044065
115,34095.2,0.62296,1.28674,0.53732,1.03334,0.96462,0.92465,0.95367,0.88174,0.96005,0.92691,0.94605,0.83929,0.39738,1.12229,0.25675,0.85459,0.004357,0.004357,0.004357
116,34603.1,0.63049,1.32926,0.54613,1.03217,0.96454,0.92452,0.95371,0.882,0.95898,0.92671,0.94567,0.8392,0.39745,1.12457,0.25661,0.85472,0.0043075,0.0043075,0.0043075
117,35166.2,0.61923,1.29509,0.5298,1.024,0.96498,0.92357,0.95371,0.88236,0.95901,0.92654,0.94582,0.8396,0.3972,1.12053,0.25616,0.85458,0.004258,0.004258,0.004258
118,35518.3,0.62104,1.30932,0.53784,1.02691,0.96482,0.92459,0.95389,0.88275,0.95948,0.92625,0.94609,0.84003,0.39669,1.12194,0.25579,0.85426,0.0042085,0.0042085,0.0042085
119,35860.4,0.61851,1.29987,0.53138,1.02679,0.96436,0.92363,0.95336,0.88256,0.96008,0.92602,0.94593,0.84002,0.39671,1.12014,0.25531,0.85422,0.004159,0.004159,0.004159
120,36144.7,0.61778,1.29302,0.53232,1.02987,0.96514,0.92349,0.95333,0.88253,0.96064,0.92595,0.94591,0.84016,0.39682,1.11957,0.25486,0.85419,0.0041095,0.0041095,0.0041095
121,36465.7,0.62102,1.30443,0.53633,1.02938,0.96517,0.92289,0.95339,0.88303,0.95686,0.9282,0.94592,0.84035,0.39654,1.12181,0.25485,0.85414,0.00406,0.00406,0.00406
122,36785.8,0.61749,1.28252,0.52902,1.02714,0.96259,0.92446,0.95338,0.88283,0.95712,0.92877,0.94636,0.84088,0.39606,1.1219,0.25465,0.85376,0.0040105,0.0040105,0.0040105
123,37086.8,0.61842,1.283,0.52993,1.02588,0.96296,0.92422,0.95339,0.88287,0.95663,0.92918,0.94639,0.84122,0.39565,1.11807,0.25456,0.85333,0.003961,0.003961,0.003961
124,37414,0.61215,1.28338,0.51939,1.02537,0.96218,0.92474,0.95341,0.8829,0.95759,0.9295,0.94618,0.84116,0.39549,1.11642,0.25471,0.85331,0.0039115,0.0039115,0.0039115
125,37791.4,0.61686,1.29676,0.52915,1.02732,0.96203,0.92509,0.95337,0.88296,0.95832,0.92853,0.94614,0.84099,0.39586,1.11429,0.25547,0.85351,0.003862,0.003862,0.003862
126,38214.8,0.60808,1.25945,0.51559,1.02185,0.96177,0.92687,0.95358,0.88253,0.95872,0.92766,0.94619,0.84093,0.39595,1.11007,0.25477,0.85346,0.0038125,0.0038125,0.0038125
127,38686.8,0.60764,1.25875,0.51677,1.02352,0.9647,0.92591,0.95416,0.88267,0.95667,0.92591,0.94567,0.84058,0.39584,1.11041,0.25389,0.85331,0.003763,0.003763,0.003763
128,39074.9,0.60784,1.25655,0.51743,1.02108,0.96434,0.92633,0.95416,0.88303,0.95677,0.92564,0.94571,0.8403,0.39566,1.11053,0.25396,0.85331,0.0037135,0.0037135,0.0037135
129,39511.9,0.60647,1.25476,0.51706,1.02535,0.96388,0.92676,0.95413,0.8828,0.95722,0.92527,0.94575,0.84042,0.3955,1.10931,0.25373,0.85323,0.003664,0.003664,0.003664
130,39930.6,0.60593,1.26498,0.51637,1.02265,0.96394,0.92661,0.95417,0.8825,0.95747,0.92465,0.94572,0.84058,0.3951,1.11056,0.25354,0.85302,0.0036145,0.0036145,0.0036145
131,40431.7,0.60433,1.24727,0.51011,1.01992,0.96357,0.92677,0.95419,0.8828,0.95773,0.92407,0.94575,0.84107,0.39494,1.11189,0.25331,0.85305,0.003565,0.003565,0.003565
132,40763.4,0.60527,1.25942,0.51324,1.0204,0.96331,0.92585,0.95406,0.8831,0.95857,0.92329,0.94571,0.84161,0.39503,1.1197,0.25335,0.85334,0.0035155,0.0035155,0.0035155
