epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4613.88,0.62248,1.43837,0.51284,1.02308,0.94335,0.89608,0.9373,0.83881,0.93998,0.89296,0.92668,0.7869,0.4805,1.3132,0.34862,0.95462,0.008086,0.008086,0.008086
31,4753.93,0.62027,1.41463,0.50416,1.02177,0.94532,0.89057,0.93554,0.84037,0.93984,0.89198,0.92645,0.78952,0.47762,1.31366,0.35459,0.95036,0.00802,0.00802,0.00802
32,4893.26,0.62287,1.44655,0.50634,1.01994,0.94474,0.89218,0.9362,0.84,0.93895,0.8869,0.92731,0.79205,0.4777,1.29241,0.35119,0.95091,0.007954,0.007954,0.007954
33,5032.54,0.60963,1.41601,0.49379,1.0165,0.95339,0.89247,0.93933,0.84633,0.94646,0.89315,0.93033,0.79985,0.47367,1.28819,0.33997,0.95318,0.007888,0.007888,0.007888
34,5171.58,0.60787,1.40176,0.49348,1.01455,0.94544,0.89834,0.94022,0.84263,0.94603,0.89615,0.93128,0.7961,0.47582,1.29698,0.33331,0.95276,0.007822,0.007822,0.007822
35,5310.74,0.59662,1.38311,0.4816,1.01057,0.95615,0.8976,0.94268,0.8508,0.95426,0.89584,0.93435,0.80141,0.46325,1.2863,0.32286,0.94003,0.007756,0.007756,0.007756
36,5450.27,0.60783,1.37869,0.48724,1.01092,0.94758,0.907,0.94128,0.84875,0.94502,0.90328,0.93068,0.80078,0.46247,1.28212,0.32787,0.94453,0.00769,0.00769,0.00769
37,5589.29,0.59461,1.37085,0.47592,1.00419,0.94524,0.90901,0.94219,0.85329,0.94276,0.90667,0.93501,0.80336,0.45988,1.24492,0.32258,0.93861,0.007624,0.007624,0.007624
38,5728.48,0.59416,1.35615,0.47575,1.00286,0.94609,0.89424,0.93918,0.84724,0.94561,0.89526,0.93108,0.79703,0.46654,1.2552,0.33463,0.94448,0.007558,0.007558,0.007558
39,5867.54,0.59424,1.33933,0.47303,1.0096,0.94266,0.89794,0.94193,0.85163,0.94519,0.89337,0.93431,0.80671,0.4603,1.24149,0.31951,0.94048,0.007492,0.007492,0.007492
40,6007.02,0.58895,1.34027,0.46636,1.0019,0.94975,0.9096,0.94311,0.85398,0.94881,0.90892,0.93449,0.80731,0.45435,1.23631,0.31347,0.9396,0.007426,0.007426,0.007426
41,6146.74,0.58714,1.3323,0.46121,0.99923,0.95571,0.90515,0.94481,0.85781,0.95094,0.89989,0.9349,0.8075,0.45374,1.26318,0.30784,0.9368,0.00736,0.00736,0.00736
42,6286.18,0.58536,1.3161,0.45935,0.99963,0.95324,0.90388,0.94568,0.85863,0.95055,0.90236,0.93444,0.81274,0.44915,1.21722,0.30878,0.92775,0.007294,0.007294,0.007294
43,6425.85,0.58616,1.34662,0.45819,0.99936,0.95513,0.90162,0.94499,0.86009,0.95067,0.89734,0.93452,0.80873,0.44328,1.24839,0.30731,0.92967,0.007228,0.007228,0.007228
44,6564.83,0.57708,1.30506,0.4553,0.99409,0.95031,0.90286,0.94384,0.85866,0.9471,0.90061,0.93264,0.81074,0.44627,1.2197,0.31019,0.92709,0.007162,0.007162,0.007162
45,6704.62,0.58152,1.31691,0.44974,0.99473,0.95694,0.91161,0.94612,0.86191,0.95783,0.90683,0.93844,0.81621,0.44471,1.22782,0.29152,0.92698,0.007096,0.007096,0.007096
46,6849.75,0.57383,1.28331,0.4435,0.99282,0.95239,0.91318,0.94711,0.86256,0.94959,0.90934,0.93706,0.81673,0.44325,1.20018,0.29431,0.93041,0.00703,0.00703,0.00703
47,6990.56,0.56914,1.26853,0.44044,0.99212,0.95408,0.91846,0.94813,0.86386,0.95331,0.90866,0.94007,0.8211,0.44454,1.18095,0.28718,0.92872,0.006964,0.006964,0.006964
48,7130.46,0.56664,1.27896,0.43903,0.98897,0.95265,0.91459,0.94866,0.86638,0.95611,0.90406,0.94057,0.82147,0.43814,1.21875,0.29184,0.92583,0.006898,0.006898,0.006898
49,7270.48,0.56462,1.26974,0.42736,0.98659,0.95161,0.91497,0.94705,0.86685,0.95369,0.91063,0.94149,0.8211,0.43758,1.18996,0.28255,0.92383,0.006832,0.006832,0.006832
50,7410.25,0.56782,1.27404,0.43216,0.99091,0.95792,0.90965,0.94784,0.86651,0.95501,0.90577,0.93957,0.81922,0.44021,1.22342,0.29045,0.92749,0.006766,0.006766,0.006766
51,7550.16,0.55759,1.2593,0.4251,0.98357,0.95473,0.91244,0.94912,0.86839,0.95019,0.9079,0.93948,0.82331,0.43566,1.23867,0.29089,0.92003,0.0067,0.0067,0.0067
52,7690.17,0.56121,1.26212,0.42758,0.98353,0.94191,0.91867,0.9492,0.86577,0.94411,0.91173,0.94186,0.82379,0.43726,1.21247,0.29619,0.925,0.006634,0.006634,0.006634
53,7829.91,0.55603,1.24789,0.42579,0.98353,0.94936,0.91509,0.94784,0.87065,0.95051,0.91297,0.94215,0.82259,0.4293,1.20588,0.28901,0.91878,0.006568,0.006568,0.006568
54,7969.44,0.55621,1.22964,0.42256,0.98303,0.95176,0.91285,0.94764,0.87073,0.95073,0.91093,0.93999,0.82443,0.43102,1.21494,0.28706,0.92082,0.006502,0.006502,0.006502
55,8108.88,0.55484,1.23374,0.42205,0.9811,0.95174,0.91301,0.94871,0.87257,0.94945,0.91145,0.94129,0.82608,0.42583,1.20817,0.28311,0.91832,0.006436,0.006436,0.006436
56,8248.16,0.55161,1.24882,0.41471,0.97981,0.95448,0.91509,0.94833,0.86957,0.95508,0.91448,0.94332,0.82465,0.42866,1.16439,0.27695,0.92028,0.00637,0.00637,0.00637
57,8387.31,0.54758,1.23361,0.41668,0.98009,0.96136,0.9183,0.94944,0.87288,0.95766,0.91559,0.94168,0.82448,0.42752,1.19115,0.27616,0.91785,0.006304,0.006304,0.006304
58,8526.2,0.54769,1.23659,0.4183,0.97824,0.96311,0.91841,0.95121,0.87275,0.96409,0.90967,0.94383,0.82796,0.43028,1.18188,0.2766,0.92188,0.006238,0.006238,0.006238
59,8665.54,0.54049,1.22364,0.40951,0.97225,0.96792,0.91212,0.95236,0.87574,0.96529,0.90896,0.94381,0.82823,0.42504,1.18374,0.26898,0.92002,0.006172,0.006172,0.006172
60,8806.44,0.54192,1.21895,0.40104,0.97391,0.96159,0.92125,0.95232,0.87544,0.95991,0.91766,0.94449,0.8285,0.42534,1.19676,0.26709,0.91661,0.006106,0.006106,0.006106
61,8945.69,0.54472,1.23216,0.40741,0.97879,0.96679,0.91295,0.9524,0.87444,0.96544,0.91183,0.94585,0.83406,0.42693,1.20029,0.2696,0.92096,0.00604,0.00604,0.00604
